Date,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth,Utils,Other,Real_Rate,RF_Monthly,Inflation,VIX,Mkt_RF
1963-08-01,0.0489,0.06570000000000001,0.062,0.0394,0.051399999999999994,0.0429,0.0643,0.09570000000000001,0.0412,0.054000000000000006,0.0005449657869012726,0.0025,0.0019550342130987275,,0.0508
1963-09-01,-0.0174,-0.0025,-0.008100000000000001,-0.0365,0.0017000000000000001,0.0236,0.0092,-0.0407,-0.024900000000000002,-0.0316,0.003675609756097562,0.0027,-0.0009756097560975618,,-0.015700000000000002
1963-10-01,0.026600000000000002,0.10710000000000001,0.0256,-0.0033,0.08220000000000001,0.034300000000000004,0.0052,0.0339,-0.0067,0.013999999999999999,0.0019234374999999998,0.0029,0.0009765625,,0.0254
1963-11-01,-0.0113,-0.052000000000000005,0.0031,-0.011399999999999999,-0.0029,0.0414,-0.0125,-0.016399999999999998,-0.0106,0.001,0.0017243902439024383,0.0027,0.0009756097560975618,,-0.0086
1963-12-01,0.028399999999999998,0.0058,0.0194,0.0466,0.0304,-0.0009,0.0033,0.0154,0.0241,0.0265,-0.0003488628979856495,0.0029,0.0032488628979856493,,0.0183
1964-01-01,0.0078000000000000005,0.012199999999999999,0.026600000000000002,0.048499999999999995,0.029300000000000003,0.0332,0.025099999999999997,0.037000000000000005,0.0139,0.011699999999999999,0.001056994818652843,0.003,0.0019430051813471572,,0.022400000000000003
1964-02-01,0.018600000000000002,0.0165,0.0273,0.0108,0.0196,-0.0028000000000000004,0.0163,0.0165,0.0087,0.053399999999999996,0.0035696186166774366,0.0026,-0.0009696186166774368,,0.0155
1964-03-01,0.0308,0.0108,0.0369,0.013999999999999999,0.0338,-0.009000000000000001,0.024300000000000002,-0.0194,-0.0074,0.0233,0.002129440310579053,0.0031,0.0009705596894209467,,0.0141
1964-04-01,-0.004699999999999999,0.018000000000000002,-0.0172,0.0404,-0.0363,0.0083,0.0287,-0.014199999999999999,0.0105,0.0029,0.002576793794440854,0.0029,0.0003232062055591456,,0.001
1964-05-01,0.0155,0.0151,0.0175,0.021400000000000002,0.0273,-0.0039000000000000003,0.039,0.0052,0.0084,0.023799999999999998,0.0016306946688205513,0.0026,0.0009693053311794486,,0.0141
1964-06-01,0.0167,0.0077,0.0088,0.0067,0.0051,0.046900000000000004,0.0383,0.0058,0.022099999999999998,0.0128,0.0020316333118141046,0.003,0.0009683666881858954,,0.0127
1964-07-01,0.0176,0.056299999999999996,0.0134,0.0334,-0.0181,-0.020099999999999996,0.011899999999999999,0.0475,0.0493,0.0129,0.0026775233795549554,0.003,0.00032247662044504466,,0.0174
